epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,822.036,1.38537,2.27853,1.23604,0.66926,0.56263,0.59818,0.33682,1.46005,1.43032,1.26165,0.00999549,0.00333183,0.00999549,0.00333183,0.00999549,0.00333183,0.00999549,0.00333183
2,1554.62,1.48079,1.34339,1.28653,0.6806,0.56608,0.59228,0.32231,1.51324,1.54997,1.30248,0.0198635,0.00662117,0.0198635,0.00662117,0.0198635,0.00662117,0.0198635,0.00662117
3,2261.93,1.55452,1.39715,1.34154,0.66652,0.53096,0.58124,0.31475,1.56939,1.45612,1.35863,0.0295996,0.00986652,0.0295996,0.00986652,0.0295996,0.00986652,0.0295996,0.00986652
4,2945.6,1.56503,1.3968,1.36751,0.73051,0.59884,0.63697,0.3426,1.51737,1.40036,1.31253,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,3626.71,1.49529,1.25913,1.31421,0.72944,0.62822,0.66654,0.36427,1.4722,1.31475,1.28211,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,4311.9,1.45177,1.18341,1.29454,0.78054,0.65299,0.69953,0.38914,1.4175,1.19057,1.24936,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4997.86,1.40653,1.11703,1.26383,0.78236,0.66744,0.71385,0.4007,1.38662,1.21744,1.24685,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,5683.3,1.37542,1.07258,1.24056,0.79336,0.67118,0.70949,0.40325,1.36776,1.15977,1.2369,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,6366.12,1.35055,1.03512,1.22767,0.79785,0.66065,0.72139,0.4149,1.33462,1.10913,1.20784,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,7048.23,1.32901,0.99801,1.21244,0.83107,0.68013,0.74295,0.43303,1.31082,1.02609,1.18261,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,7729.87,1.32441,0.98229,1.20357,0.8372,0.69012,0.74971,0.43562,1.29414,1.03741,1.17136,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,8411.77,1.30709,0.95954,1.19802,0.82431,0.6989,0.75478,0.43917,1.31993,1.06223,1.20341,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,9095.09,1.29553,0.93342,1.18739,0.84291,0.69973,0.7658,0.44778,1.28769,1.03454,1.17995,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,9793.3,1.28624,0.91622,1.18398,0.84264,0.70284,0.75972,0.44383,1.28934,1.03251,1.17161,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,10476.2,1.27027,0.90942,1.17507,0.84828,0.72167,0.78104,0.45667,1.27588,1.01523,1.16937,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,11156.3,1.25847,0.88637,1.16895,0.85895,0.72187,0.77951,0.4551,1.26619,0.97715,1.15272,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,11839.7,1.25233,0.8801,1.16048,0.86354,0.72992,0.78428,0.46565,1.23765,0.96639,1.14091,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,12520.4,1.24913,0.86937,1.16096,0.84431,0.73047,0.78292,0.46572,1.23385,0.97109,1.13692,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,13217.5,1.24417,0.86264,1.15981,0.85282,0.74262,0.79402,0.4729,1.22539,0.97517,1.13084,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,13897.4,1.23914,0.85611,1.15531,0.85724,0.74365,0.79359,0.47382,1.22917,0.9695,1.14158,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,14581.1,1.22753,0.83685,1.14827,0.86146,0.74683,0.79845,0.4726,1.21587,0.95881,1.13462,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,15262.1,1.2293,0.83529,1.15082,0.86012,0.74634,0.7986,0.47285,1.21781,0.93883,1.12551,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,15945.4,1.21808,0.82296,1.14087,0.87526,0.74867,0.80238,0.47702,1.20848,0.94259,1.12284,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,16628.5,1.21532,0.81565,1.1426,0.87434,0.74703,0.79811,0.47935,1.20249,0.95767,1.12085,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,17322.9,1.20387,0.81058,1.13737,0.86363,0.75609,0.80407,0.48446,1.19669,0.90032,1.11839,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,18015.9,1.20586,0.80673,1.13435,0.86779,0.76805,0.80992,0.48692,1.20245,0.89544,1.11913,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,18698.7,1.2016,0.79812,1.13095,0.87083,0.76243,0.80815,0.48365,1.20645,0.89941,1.12083,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
