epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,312.088,1.50517,1.794,1.05218,0.8569,0.78294,0.83978,0.4646,1.39803,1.09372,1.02926,0.0099823,0.00332743,0.0099823,0.00332743,0.0099823,0.00332743,0.0099823,0.00332743
2,572.562,1.57184,1.12657,1.08339,0.84371,0.7426,0.80347,0.4406,1.52315,1.14141,1.12176,0.0197845,0.00659483,0.0197845,0.00659483,0.0197845,0.00659483,0.0197845,0.00659483
3,824.792,1.66691,1.14881,1.14283,0.75502,0.70413,0.73754,0.3542,1.6565,1.49197,1.15975,0.0293887,0.00979622,0.0293887,0.00979622,0.0293887,0.00979622,0.0293887,0.00979622
4,1074.04,1.68646,1.14071,1.17654,0.84889,0.76132,0.81905,0.45094,1.51739,0.97253,1.14421,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1323.39,1.61869,1.06061,1.15157,0.87225,0.77185,0.83635,0.4566,1.56835,0.9453,1.14269,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1571.54,1.58403,1.02029,1.13369,0.8789,0.79816,0.85458,0.50241,1.41517,0.90827,1.10072,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1823.28,1.53746,0.96879,1.10476,0.88813,0.82057,0.87576,0.49156,1.42161,0.85531,1.08938,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2080.84,1.51196,0.92582,1.1048,0.89971,0.81886,0.87577,0.51626,1.3943,0.84131,1.07488,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2331.62,1.48122,0.90312,1.08586,0.90721,0.83418,0.89406,0.53278,1.33658,0.79589,1.06255,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2581.13,1.4667,0.88439,1.07291,0.92311,0.84618,0.9042,0.55033,1.29139,0.77947,1.03458,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2833.04,1.44591,0.85386,1.06672,0.91265,0.84474,0.89888,0.55247,1.28081,0.75617,1.03472,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3084.56,1.42625,0.83915,1.05222,0.91393,0.84598,0.90395,0.54498,1.2925,0.74543,1.02327,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3334.71,1.41005,0.82931,1.04947,0.92719,0.86281,0.91736,0.57314,1.25671,0.71925,1.0166,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3584.37,1.40749,0.81469,1.05166,0.92106,0.85666,0.90945,0.54156,1.32366,0.74571,1.03911,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3840.46,1.3936,0.81195,1.03974,0.92681,0.86891,0.92022,0.5738,1.27146,0.70921,1.01515,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4099.92,1.36492,0.77923,1.03149,0.92824,0.87208,0.92086,0.57743,1.25512,0.69472,1.00676,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4352.24,1.37191,0.77521,1.02726,0.93953,0.86227,0.92416,0.58085,1.22704,0.68445,1.00694,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4602.91,1.35282,0.76988,1.02264,0.92706,0.87853,0.92735,0.5914,1.20069,0.67725,0.99594,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4851.39,1.34877,0.76501,1.02507,0.93814,0.86756,0.92639,0.59701,1.19208,0.65758,0.98458,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5102.6,1.33967,0.75406,1.01873,0.92984,0.88594,0.93398,0.59857,1.18488,0.64576,0.97977,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5354.45,1.32037,0.73807,1.01176,0.94468,0.87798,0.9309,0.58136,1.2458,0.65015,1.00194,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5605.56,1.3119,0.72919,1.00928,0.94108,0.87981,0.93422,0.59668,1.19441,0.64091,0.98902,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5854.65,1.31627,0.73246,1.00843,0.93913,0.88255,0.93134,0.58125,1.23008,0.66852,1.00181,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6102.82,1.30968,0.72697,1.00463,0.9401,0.8817,0.93078,0.59182,1.20225,0.63682,0.98507,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6355.16,1.29611,0.71431,0.99736,0.94719,0.88556,0.93601,0.60016,1.18225,0.6191,0.97881,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6606.19,1.29538,0.70981,1.00071,0.94751,0.88497,0.93527,0.6056,1.17622,0.62451,0.97791,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6857.75,1.28969,0.7075,0.9978,0.9485,0.8907,0.9419,0.61398,1.14586,0.59924,0.96945,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7101.98,1.27942,0.69829,0.99049,0.95028,0.88492,0.94176,0.60376,1.16331,0.60929,0.97326,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7353.6,1.2594,0.68646,0.99021,0.94711,0.89751,0.94389,0.62086,1.13826,0.59842,0.96354,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7603.54,1.26113,0.68618,0.98851,0.93909,0.89769,0.94507,0.62006,1.13029,0.59866,0.96268,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7854.03,1.25764,0.67679,0.98622,0.94854,0.89445,0.94205,0.6214,1.13137,0.58422,0.96368,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8104.56,1.25302,0.6785,0.9844,0.94952,0.89854,0.94548,0.6283,1.11395,0.57986,0.96017,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8352.1,1.25114,0.67071,0.98501,0.95768,0.90153,0.94961,0.63487,1.09154,0.57265,0.95397,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8602.62,1.24357,0.6652,0.97933,0.95317,0.89401,0.94734,0.63707,1.09695,0.57248,0.95623,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8853.76,1.22729,0.66031,0.97711,0.95106,0.90262,0.94707,0.634,1.10637,0.57414,0.95256,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
