epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,514.278,2.42347,4.71521,1.38104,0.77056,0.2448,0.24283,0.07865,2.36338,1.89314,1.27542,0.00999206,0.00333069,0.00999206,0.00333069,0.00999206,0.00333069,0.00999206,0.00333069
2,977.944,2.41475,1.94065,1.38445,0.76694,0.24046,0.23006,0.07389,2.38846,1.74768,1.31994,0.0197941,0.00659805,0.0197941,0.00659805,0.0197941,0.00659805,0.0197941,0.00659805
3,1427.34,2.50626,2.00242,1.46757,0.75763,0.22394,0.21184,0.06946,2.42719,1.8513,1.36438,0.0293982,0.0097994,0.0293982,0.0097994,0.0293982,0.0097994,0.0293982,0.0097994
4,1856.93,2.4781,1.99399,1.48456,0.77648,0.22324,0.22918,0.07739,2.36121,1.80854,1.361,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2267.03,2.44664,1.85983,1.4725,0.81999,0.25939,0.27719,0.10078,2.30817,1.61653,1.34441,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2678.88,2.37231,1.74256,1.43171,0.84289,0.26962,0.28502,0.10219,2.29568,1.53224,1.31027,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3090.86,2.35116,1.70416,1.43677,0.82692,0.27162,0.28682,0.10132,2.24281,1.50842,1.29096,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3504.36,2.33626,1.63349,1.40632,0.84064,0.27259,0.29544,0.10212,2.2133,1.46847,1.30818,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3915.44,2.2869,1.6055,1.40264,0.86804,0.27599,0.31856,0.12072,2.14328,1.44184,1.28047,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4329.62,2.25522,1.57503,1.36239,0.87981,0.28855,0.33966,0.1281,2.1708,1.37627,1.25971,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4742.41,2.24309,1.52447,1.36722,0.8551,0.29553,0.32792,0.11731,2.16809,1.39046,1.28082,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
